ts,qArr,instArr,startEx,endEx,flops
20.563500,20.468000,20.468000,20.468000,20.563500,32000000.000000
20.564000,20.469000,20.469000,20.469000,20.564000,32000000.000000
20.647000,20.615000,20.615000,20.615000,20.647000,32000000.000000
20.753000,20.720000,20.720000,20.720000,20.753000,32000000.000000
20.784000,20.751000,20.751000,20.751000,20.784000,32000000.000000
20.857000,20.825000,20.825000,20.825000,20.857000,32000000.000000
20.999000,20.967000,20.967000,20.967000,20.999000,32000000.000000
21.236000,21.204000,21.204000,21.204000,21.236000,32000000.000000
21.321500,21.265000,21.265000,21.265000,21.321500,32000000.000000
21.337500,21.273000,21.273000,21.273000,21.337500,32000000.000000
21.372000,21.320000,21.320000,21.320000,21.372000,32000000.000000
21.421667,21.350000,21.350000,21.350000,21.421667,32000000.000000
21.507400,21.380000,21.380000,21.380000,21.507400,32000000.000000
21.532400,21.390000,21.390000,21.390000,21.532400,32000000.000000
21.543067,21.398000,21.398000,21.398000,21.543067,32000000.000000
21.552067,21.410000,21.410000,21.410000,21.552067,32000000.000000
21.583400,21.475000,21.475000,21.475000,21.583400,32000000.000000
21.585000,21.483000,21.483000,21.483000,21.585000,32000000.000000
21.695000,21.663000,21.663000,21.663000,21.695000,32000000.000000
21.798000,21.766000,21.766000,21.766000,21.798000,32000000.000000
22.006000,21.974000,21.974000,21.974000,22.006000,32000000.000000
22.140000,22.108000,22.108000,22.108000,22.140000,32000000.000000
22.332000,22.300000,22.300000,22.300000,22.332000,32000000.000000
22.546333,22.469000,22.469000,22.469000,22.546333,32000000.000000
22.594333,22.485000,22.485000,22.485000,22.594333,32000000.000000
22.595333,22.486000,22.486000,22.486000,22.595333,32000000.000000
22.597000,22.491000,22.491000,22.491000,22.597000,32000000.000000
22.663000,22.631000,22.631000,22.631000,22.663000,32000000.000000
22.741000,22.708000,22.708000,22.708000,22.741000,32000000.000000
22.792000,22.739000,22.739000,22.739000,22.792000,32000000.000000
22.804000,22.752000,22.752000,22.752000,22.804000,32000000.000000
22.890000,22.858000,22.858000,22.858000,22.890000,32000000.000000
22.973000,22.930000,22.930000,22.930000,22.973000,32000000.000000
23.013000,22.951000,22.951000,22.951000,23.013000,32000000.000000
23.026000,22.975000,22.975000,22.975000,23.026000,32000000.000000
23.265000,23.226000,23.226000,23.226000,23.265000,32000000.000000
23.290000,23.251000,23.251000,23.251000,23.290000,32000000.000000
23.346000,23.314000,23.314000,23.314000,23.346000,32000000.000000
