ts,qArr,instArr,startEx,endEx,flops
30.437953,30.437000,30.437000,30.437000,30.437953,953333.000000
30.488953,30.488000,30.488000,30.488000,30.488953,953333.000000
30.502953,30.502000,30.502000,30.502000,30.502953,953333.000000
30.623953,30.623000,30.623000,30.623000,30.623953,953333.000000
30.724953,30.724000,30.724000,30.724000,30.724953,953333.000000
30.781953,30.781000,30.781000,30.781000,30.781953,953333.000000
30.856953,30.856000,30.856000,30.856000,30.856953,953333.000000
30.874953,30.874000,30.874000,30.874000,30.874953,953333.000000
30.968953,30.968000,30.968000,30.968000,30.968953,953333.000000
31.129953,31.129000,31.129000,31.129000,31.129953,953333.000000
31.162953,31.162000,31.162000,31.162000,31.162953,953333.000000
31.596953,31.596000,31.596000,31.596000,31.596953,953333.000000
31.620953,31.620000,31.620000,31.620000,31.620953,953333.000000
31.629953,31.629000,31.629000,31.629000,31.629953,953333.000000
31.694953,31.694000,31.694000,31.694000,31.694953,953333.000000
31.746953,31.746000,31.746000,31.746000,31.746953,953333.000000
31.810953,31.810000,31.810000,31.810000,31.810953,953333.000000
31.835953,31.835000,31.835000,31.835000,31.835953,953333.000000
31.840953,31.840000,31.840000,31.840000,31.840953,953333.000000
31.910953,31.910000,31.910000,31.910000,31.910953,953333.000000
31.951953,31.951000,31.951000,31.951000,31.951953,953333.000000
31.960953,31.960000,31.960000,31.960000,31.960953,953333.000000
32.161953,32.161000,32.161000,32.161000,32.161953,953333.000000
32.172953,32.172000,32.172000,32.172000,32.172953,953333.000000
32.227953,32.227000,32.227000,32.227000,32.227953,953333.000000
32.329953,32.329000,32.329000,32.329000,32.329953,953333.000000
32.490953,32.490000,32.490000,32.490000,32.490953,953333.000000
32.515953,32.515000,32.515000,32.515000,32.515953,953333.000000
32.528953,32.528000,32.528000,32.528000,32.528953,953333.000000
32.646953,32.646000,32.646000,32.646000,32.646953,953333.000000
32.755953,32.755000,32.755000,32.755000,32.755953,953333.000000
32.807953,32.807000,32.807000,32.807000,32.807953,953333.000000
32.882953,32.882000,32.882000,32.882000,32.882953,953333.000000
32.906953,32.906000,32.906000,32.906000,32.906953,953333.000000
32.980953,32.980000,32.980000,32.980000,32.980953,953333.000000
33.101953,33.101000,33.101000,33.101000,33.101953,953333.000000
33.285953,33.285000,33.285000,33.285000,33.285953,953333.000000
33.312953,33.312000,33.312000,33.312000,33.312953,953333.000000
33.460953,33.460000,33.460000,33.460000,33.460953,953333.000000
33.480953,33.480000,33.480000,33.480000,33.480953,953333.000000
33.526953,33.526000,33.526000,33.526000,33.526953,953333.000000
33.663953,33.663000,33.663000,33.663000,33.663953,953333.000000
33.700953,33.700000,33.700000,33.700000,33.700953,953333.000000
33.766953,33.766000,33.766000,33.766000,33.766953,953333.000000
33.800953,33.800000,33.800000,33.800000,33.800953,953333.000000
33.903953,33.903000,33.903000,33.903000,33.903953,953333.000000
33.943953,33.943000,33.943000,33.943000,33.943953,953333.000000
33.998953,33.998000,33.998000,33.998000,33.998953,953333.000000
34.199953,34.199000,34.199000,34.199000,34.199953,953333.000000
34.200953,34.200000,34.200000,34.200000,34.200953,953333.000000
34.235953,34.235000,34.235000,34.235000,34.235953,953333.000000
34.290953,34.290000,34.290000,34.290000,34.290953,953333.000000
34.449953,34.449000,34.449000,34.449000,34.449953,953333.000000
34.573953,34.573000,34.573000,34.573000,34.573953,953333.000000
34.614953,34.614000,34.614000,34.614000,34.614953,953333.000000
34.637953,34.637000,34.637000,34.637000,34.637953,953333.000000
34.641953,34.641000,34.641000,34.641000,34.641953,953333.000000
34.828953,34.828000,34.828000,34.828000,34.828953,953333.000000
34.870953,34.870000,34.870000,34.870000,34.870953,953333.000000
34.916953,34.916000,34.916000,34.916000,34.916953,953333.000000
34.927953,34.927000,34.927000,34.927000,34.927953,953333.000000
35.176953,35.176000,35.176000,35.176000,35.176953,953333.000000
35.259953,35.259000,35.259000,35.259000,35.259953,953333.000000
35.275953,35.275000,35.275000,35.275000,35.275953,953333.000000
35.418953,35.418000,35.418000,35.418000,35.418953,953333.000000
35.419953,35.419000,35.419000,35.419000,35.419953,953333.000000
35.561953,35.561000,35.561000,35.561000,35.561953,953333.000000
35.711953,35.711000,35.711000,35.711000,35.711953,953333.000000
35.715953,35.715000,35.715000,35.715000,35.715953,953333.000000
35.769953,35.769000,35.769000,35.769000,35.769953,953333.000000
35.801953,35.801000,35.801000,35.801000,35.801953,953333.000000
35.870953,35.870000,35.870000,35.870000,35.870953,953333.000000
35.901953,35.901000,35.901000,35.901000,35.901953,953333.000000
36.252953,36.252000,36.252000,36.252000,36.252953,953333.000000
36.326953,36.326000,36.326000,36.326000,36.326953,953333.000000
36.375953,36.375000,36.375000,36.375000,36.375953,953333.000000
36.453953,36.453000,36.453000,36.453000,36.453953,953333.000000
36.463953,36.463000,36.463000,36.463000,36.463953,953333.000000
36.641953,36.641000,36.641000,36.641000,36.641953,953333.000000
36.678953,36.678000,36.678000,36.678000,36.678953,953333.000000
36.789953,36.789000,36.789000,36.789000,36.789953,953333.000000
36.819953,36.819000,36.819000,36.819000,36.819953,953333.000000
36.849953,36.849000,36.849000,36.849000,36.849953,953333.000000
36.860953,36.860000,36.860000,36.860000,36.860953,953333.000000
36.920953,36.920000,36.920000,36.920000,36.920953,953333.000000
37.260953,37.260000,37.260000,37.260000,37.260953,953333.000000
37.372953,37.372000,37.372000,37.372000,37.372953,953333.000000
37.434953,37.434000,37.434000,37.434000,37.434953,953333.000000
37.616953,37.616000,37.616000,37.616000,37.616953,953333.000000
37.637953,37.637000,37.637000,37.637000,37.637953,953333.000000
37.646953,37.646000,37.646000,37.646000,37.646953,953333.000000
37.729953,37.729000,37.729000,37.729000,37.729953,953333.000000
37.923953,37.923000,37.923000,37.923000,37.923953,953333.000000
37.935953,37.935000,37.935000,37.935000,37.935953,953333.000000
