ts,qArr,instArr,startEx,endEx,flops
273.049232,272.739000,272.776935,272.825232,273.049232,32000000.000000
273.068390,272.772000,272.825232,272.844390,273.068390,32000000.000000
273.097667,272.836000,272.844390,272.873667,273.097667,32000000.000000
273.100000,272.839000,272.873667,272.876000,273.100000,32000000.000000
273.132242,272.879000,272.879000,272.908242,273.132242,32000000.000000
273.145075,272.903000,272.908242,272.922535,273.145075,32000000.000000
273.218321,272.903000,272.922535,273.000935,273.218321,32000000.000000
273.266618,272.965000,273.068390,273.097667,273.266618,32000000.000000
273.285776,273.266618,273.266618,273.266618,273.285776,32000000.000000
273.315053,273.285776,273.285776,273.285776,273.315053,32000000.000000
273.317386,272.966000,273.097667,273.100000,273.317386,32000000.000000
273.359846,273.141000,273.141000,273.141000,273.359846,32000000.000000
273.400000,273.176000,273.176000,273.176000,273.400000,32000000.000000
273.442321,273.179000,273.179000,273.218321,273.442321,32000000.000000
273.490618,273.187000,273.218321,273.266618,273.490618,32000000.000000
273.509776,273.242000,273.266618,273.285776,273.509776,32000000.000000
273.539053,273.260000,273.285776,273.315053,273.539053,32000000.000000
273.541386,273.276000,273.317386,273.359846,273.541386,32000000.000000
273.583846,273.541386,273.541386,273.541386,273.583846,32000000.000000
273.624000,273.308000,273.359846,273.400000,273.624000,32000000.000000
273.666321,273.373000,273.400000,273.442321,273.666321,32000000.000000
273.714618,273.404000,273.442321,273.490618,273.714618,32000000.000000
273.733776,273.429000,273.509776,273.539053,273.733776,32000000.000000
273.763053,273.733776,273.733776,273.733776,273.763053,32000000.000000
273.765386,273.443000,273.539053,273.541386,273.765386,32000000.000000
273.807846,273.538000,273.541386,273.583846,273.807846,32000000.000000
273.848000,273.541000,273.666321,273.714618,273.848000,32000000.000000
273.890321,273.848000,273.848000,273.848000,273.890321,32000000.000000
273.938618,273.890321,273.890321,273.890321,273.938618,32000000.000000
273.957776,273.581000,273.714618,273.733776,273.957776,32000000.000000
273.987053,273.675000,273.733776,273.763053,273.987053,32000000.000000
273.989386,273.751000,273.765386,273.807846,273.989386,32000000.000000
274.031846,273.989386,273.989386,273.989386,274.031846,32000000.000000
274.072000,273.762000,273.807846,273.848000,274.072000,32000000.000000
274.114321,273.766000,273.848000,273.890321,274.114321,32000000.000000
274.162618,273.850000,273.957776,273.987053,274.162618,32000000.000000
