ts,qArr,instArr,startEx,endEx,flops,serv
24.620234,24.620000,24.620000,24.620000,24.620234,234400.000000,service1
24.713234,24.713000,24.713000,24.713000,24.713234,234400.000000,service1
24.722234,24.722000,24.722000,24.722000,24.722234,234400.000000,service1
24.724234,24.724000,24.724000,24.724000,24.724234,234400.000000,service1
24.744234,24.744000,24.744000,24.744000,24.744234,234400.000000,service1
24.790234,24.790000,24.790000,24.790000,24.790234,234400.000000,service1
24.889234,24.889000,24.889000,24.889000,24.889234,234400.000000,service1
24.968234,24.968000,24.968000,24.968000,24.968234,234400.000000,service1
25.229234,25.229000,25.229000,25.229000,25.229234,234400.000000,service1
25.354234,25.354000,25.354000,25.354000,25.354234,234400.000000,service1
25.370234,25.370000,25.370000,25.370000,25.370234,234400.000000,service1
25.376234,25.376000,25.376000,25.376000,25.376234,234400.000000,service1
25.410234,25.410000,25.410000,25.410000,25.410234,234400.000000,service1
25.419234,25.419000,25.419000,25.419000,25.419234,234400.000000,service1
25.602234,25.602000,25.602000,25.602000,25.602234,234400.000000,service1
25.620234,25.620000,25.620000,25.620000,25.620234,234400.000000,service1
25.658234,25.658000,25.658000,25.658000,25.658234,234400.000000,service1
25.669234,25.669000,25.669000,25.669000,25.669234,234400.000000,service1
25.850234,25.850000,25.850000,25.850000,25.850234,234400.000000,service1
25.875234,25.875000,25.875000,25.875000,25.875234,234400.000000,service1
25.906234,25.906000,25.906000,25.906000,25.906234,234400.000000,service1
25.924234,25.924000,25.924000,25.924000,25.924234,234400.000000,service1
26.127234,26.127000,26.127000,26.127000,26.127234,234400.000000,service1
26.144469,26.144000,26.144000,26.144000,26.144469,234400.000000,service1
26.144469,26.144000,26.144000,26.144000,26.144469,234400.000000,service1
26.262234,26.262000,26.262000,26.262000,26.262234,234400.000000,service1
26.336234,26.336000,26.336000,26.336000,26.336234,234400.000000,service1
26.395234,26.395000,26.395000,26.395000,26.395234,234400.000000,service1
26.434234,26.434000,26.434000,26.434000,26.434234,234400.000000,service1
26.500234,26.500000,26.500000,26.500000,26.500234,234400.000000,service1
26.610234,26.610000,26.610000,26.610000,26.610234,234400.000000,service1
26.716234,26.716000,26.716000,26.716000,26.716234,234400.000000,service1
26.764234,26.764000,26.764000,26.764000,26.764234,234400.000000,service1
26.777234,26.777000,26.777000,26.777000,26.777234,234400.000000,service1
26.854234,26.854000,26.854000,26.854000,26.854234,234400.000000,service1
26.950234,26.950000,26.950000,26.950000,26.950234,234400.000000,service1
27.222234,27.222000,27.222000,27.222000,27.222234,234400.000000,service1
27.393234,27.393000,27.393000,27.393000,27.393234,234400.000000,service1
27.454234,27.454000,27.454000,27.454000,27.454234,234400.000000,service1
27.466234,27.466000,27.466000,27.466000,27.466234,234400.000000,service1
27.570234,27.570000,27.570000,27.570000,27.570234,234400.000000,service1
27.578234,27.578000,27.578000,27.578000,27.578234,234400.000000,service1
27.679234,27.679000,27.679000,27.679000,27.679234,234400.000000,service1
27.778234,27.778000,27.778000,27.778000,27.778234,234400.000000,service1
27.843234,27.843000,27.843000,27.843000,27.843234,234400.000000,service1
27.844234,27.844000,27.844000,27.844000,27.844234,234400.000000,service1
27.857234,27.857000,27.857000,27.857000,27.857234,234400.000000,service1
27.937234,27.937000,27.937000,27.937000,27.937234,234400.000000,service1
27.976234,27.976000,27.976000,27.976000,27.976234,234400.000000,service1
27.987234,27.987000,27.987000,27.987000,27.987234,234400.000000,service1
28.247234,28.247000,28.247000,28.247000,28.247234,234400.000000,service1
28.292234,28.292000,28.292000,28.292000,28.292234,234400.000000,service1
28.314234,28.314000,28.314000,28.314000,28.314234,234400.000000,service1
28.403234,28.403000,28.403000,28.403000,28.403234,234400.000000,service1
28.452234,28.452000,28.452000,28.452000,28.452234,234400.000000,service1
28.497234,28.497000,28.497000,28.497000,28.497234,234400.000000,service1
28.674234,28.674000,28.674000,28.674000,28.674234,234400.000000,service1
28.720234,28.720000,28.720000,28.720000,28.720234,234400.000000,service1
28.735234,28.735000,28.735000,28.735000,28.735234,234400.000000,service1
28.746234,28.746000,28.746000,28.746000,28.746234,234400.000000,service1
28.830234,28.830000,28.830000,28.830000,28.830234,234400.000000,service1
28.873234,28.873000,28.873000,28.873000,28.873234,234400.000000,service1
28.970234,28.970000,28.970000,28.970000,28.970234,234400.000000,service1
28.997234,28.997000,28.997000,28.997000,28.997234,234400.000000,service1
29.138234,29.138000,29.138000,29.138000,29.138234,234400.000000,service1
29.329234,29.329000,29.329000,29.329000,29.329234,234400.000000,service1
29.413234,29.413000,29.413000,29.413000,29.413234,234400.000000,service1
29.415234,29.415000,29.415000,29.415000,29.415234,234400.000000,service1
29.612234,29.612000,29.612000,29.612000,29.612234,234400.000000,service1
29.633234,29.633000,29.633000,29.633000,29.633234,234400.000000,service1
29.680234,29.680000,29.680000,29.680000,29.680234,234400.000000,service1
29.716234,29.716000,29.716000,29.716000,29.716234,234400.000000,service1
29.768234,29.768000,29.768000,29.768000,29.768234,234400.000000,service1
29.780234,29.780000,29.780000,29.780000,29.780234,234400.000000,service1
29.875234,29.875000,29.875000,29.875000,29.875234,234400.000000,service1
29.925234,29.925000,29.925000,29.925000,29.925234,234400.000000,service1
29.991234,29.991000,29.991000,29.991000,29.991234,234400.000000,service1
30.200234,30.200000,30.200000,30.200000,30.200234,234400.000000,service1
30.304234,30.304000,30.304000,30.304000,30.304234,234400.000000,service1
30.310234,30.310000,30.310000,30.310000,30.310234,234400.000000,service1
30.374234,30.374000,30.374000,30.374000,30.374234,234400.000000,service1
30.437234,30.437000,30.437000,30.437000,30.437234,234400.000000,service1
30.488234,30.488000,30.488000,30.488000,30.488234,234400.000000,service1
30.502234,30.502000,30.502000,30.502000,30.502234,234400.000000,service1
30.623234,30.623000,30.623000,30.623000,30.623234,234400.000000,service1
30.724234,30.724000,30.724000,30.724000,30.724234,234400.000000,service1
30.781234,30.781000,30.781000,30.781000,30.781234,234400.000000,service1
30.856234,30.856000,30.856000,30.856000,30.856234,234400.000000,service1
30.874234,30.874000,30.874000,30.874000,30.874234,234400.000000,service1
30.968234,30.968000,30.968000,30.968000,30.968234,234400.000000,service1
31.129234,31.129000,31.129000,31.129000,31.129234,234400.000000,service1
31.162234,31.162000,31.162000,31.162000,31.162234,234400.000000,service1
31.596234,31.596000,31.596000,31.596000,31.596234,234400.000000,service1
31.620234,31.620000,31.620000,31.620000,31.620234,234400.000000,service1
31.629234,31.629000,31.629000,31.629000,31.629234,234400.000000,service1
31.694234,31.694000,31.694000,31.694000,31.694234,234400.000000,service1
31.746234,31.746000,31.746000,31.746000,31.746234,234400.000000,service1
31.810234,31.810000,31.810000,31.810000,31.810234,234400.000000,service1
31.835234,31.835000,31.835000,31.835000,31.835234,234400.000000,service1
31.840234,31.840000,31.840000,31.840000,31.840234,234400.000000,service1
31.910234,31.910000,31.910000,31.910000,31.910234,234400.000000,service1
31.951234,31.951000,31.951000,31.951000,31.951234,234400.000000,service1
31.960234,31.960000,31.960000,31.960000,31.960234,234400.000000,service1
32.161234,32.161000,32.161000,32.161000,32.161234,234400.000000,service1
32.172234,32.172000,32.172000,32.172000,32.172234,234400.000000,service1
32.227234,32.227000,32.227000,32.227000,32.227234,234400.000000,service1
32.329234,32.329000,32.329000,32.329000,32.329234,234400.000000,service1
32.490234,32.490000,32.490000,32.490000,32.490234,234400.000000,service1
32.515234,32.515000,32.515000,32.515000,32.515234,234400.000000,service1
32.528234,32.528000,32.528000,32.528000,32.528234,234400.000000,service1
32.646234,32.646000,32.646000,32.646000,32.646234,234400.000000,service1
32.755234,32.755000,32.755000,32.755000,32.755234,234400.000000,service1
32.807234,32.807000,32.807000,32.807000,32.807234,234400.000000,service1
32.882234,32.882000,32.882000,32.882000,32.882234,234400.000000,service1
32.906234,32.906000,32.906000,32.906000,32.906234,234400.000000,service1
32.980234,32.980000,32.980000,32.980000,32.980234,234400.000000,service1
33.101234,33.101000,33.101000,33.101000,33.101234,234400.000000,service1
33.285234,33.285000,33.285000,33.285000,33.285234,234400.000000,service1
33.312234,33.312000,33.312000,33.312000,33.312234,234400.000000,service1
33.460234,33.460000,33.460000,33.460000,33.460234,234400.000000,service1
33.480234,33.480000,33.480000,33.480000,33.480234,234400.000000,service1
33.526234,33.526000,33.526000,33.526000,33.526234,234400.000000,service1
33.663234,33.663000,33.663000,33.663000,33.663234,234400.000000,service1
33.700234,33.700000,33.700000,33.700000,33.700234,234400.000000,service1
33.766234,33.766000,33.766000,33.766000,33.766234,234400.000000,service1
33.800234,33.800000,33.800000,33.800000,33.800234,234400.000000,service1
33.903234,33.903000,33.903000,33.903000,33.903234,234400.000000,service1
33.943234,33.943000,33.943000,33.943000,33.943234,234400.000000,service1
33.998234,33.998000,33.998000,33.998000,33.998234,234400.000000,service1
34.199234,34.199000,34.199000,34.199000,34.199234,234400.000000,service1
34.200234,34.200000,34.200000,34.200000,34.200234,234400.000000,service1
34.235234,34.235000,34.235000,34.235000,34.235234,234400.000000,service1
34.290234,34.290000,34.290000,34.290000,34.290234,234400.000000,service1
34.449234,34.449000,34.449000,34.449000,34.449234,234400.000000,service1
34.573234,34.573000,34.573000,34.573000,34.573234,234400.000000,service1
