perc,nbn,sample,conn,load,meanLat,reqPerSec
20,12,4,1,121,18992.082,5.60
20,12,4,1,141,18974.660,5.10
20,12,4,1,161,19733.628,4.26
20,12,4,1,181,20218.486,3.92
20,12,4,1,201,19617.724,4.26
20,12,4,1,221,20262.756,3.73
20,12,4,1,241,20080.768,3.17
20,12,4,1,261,19362.598,2.86
20,12,4,1,281,20131.126,3.99
20,12,4,1,301,20452.021,3.22
20,12,5,1,1,33.558,1.06
20,12,5,1,21,3156.131,18.72
20,12,5,1,41,10782.956,19.62
20,12,5,1,61,17336.253,10.70
20,12,5,1,81,17350.671,11.52
20,12,5,1,101,16487.867,15.30
20,12,5,1,121,18977.963,6.42
20,12,5,1,141,19389.498,4.84
20,12,5,1,161,20533.028,4.52
20,12,5,1,181,19480.059,4.67
20,12,5,1,201,19274.189,3.84
20,12,5,1,221,19167.601,7.47
20,12,5,1,241,20890.241,5.19
20,12,5,1,261,19666.963,5.56
20,12,5,1,281,19863.107,4.41
20,12,5,1,301,20846.726,5.15
40,1,1,1,1,20.068,1.07
40,1,1,1,21,23.851,22.46
40,1,1,1,41,43.122,42.22
40,1,1,1,61,170.045,59.57
40,1,1,1,81,4068.827,63.86
40,1,1,1,101,6766.993,65.36
40,1,1,1,121,14808.312,42.20
40,1,1,1,141,15283.831,34.26
40,1,1,1,161,17436.576,25.80
40,1,1,1,181,17585.835,23.26
40,1,1,1,201,18294.421,21.86
40,1,1,1,221,17944.168,17.49
40,1,1,1,241,18346.880,15.86
40,1,1,1,261,19024.365,14.19
40,1,1,1,281,19142.764,15.56
40,1,1,1,301,18743.079,15.32
40,1,2,1,1,23.307,1.06
40,1,2,1,21,23.551,22.50
40,1,2,1,41,61.905,42.08
40,1,2,1,61,175.359,61.41
40,1,2,1,81,4413.281,64.37
40,1,2,1,101,10033.554,55.01
40,1,2,1,121,13882.463,36.52
40,1,2,1,141,15448.016,35.76
40,1,2,1,161,16833.100,25.86
40,1,2,1,181,18901.704,21.19
40,1,2,1,201,17989.107,21.14
40,1,2,1,221,19241.487,14.37
40,1,2,1,241,19280.463,14.20
40,1,2,1,261,19303.900,12.46
40,1,2,1,281,19259.632,11.16
40,1,2,1,301,19191.750,12.06
40,1,3,1,1,23.735,1.07
40,1,3,1,21,20.166,22.50
40,1,3,1,41,52.328,42.09
40,1,3,1,61,1613.943,59.77
40,1,3,1,81,4309.093,60.83
40,1,3,1,101,11624.804,52.93
40,1,3,1,121,14808.751,36.03
40,1,3,1,141,15737.773,33.73
40,1,3,1,161,16941.892,24.97
40,1,3,1,181,18736.233,17.69
40,1,3,1,201,18431.410,18.72
40,1,3,1,221,18772.438,15.56
40,1,3,1,241,19876.134,14.90
40,1,3,1,261,18617.328,12.99
40,1,3,1,281,18962.469,11.60
40,1,3,1,301,19236.910,11.09
40,1,4,1,1,21.648,1.07
40,1,4,1,21,19.400,22.47
40,1,4,1,41,30.762,42.27
40,1,4,1,61,4368.257,50.67
40,1,4,1,81,6334.537,55.94
40,1,4,1,101,10851.586,51.53
40,1,4,1,121,13876.893,36.42
40,1,4,1,141,15435.140,35.93
40,1,4,1,161,16519.698,23.89
40,1,4,1,181,18893.184,19.19
40,1,4,1,201,18050.550,19.93
40,1,4,1,221,18314.970,18.56
40,1,4,1,241,19707.552,14.50
40,1,4,1,261,18286.703,15.86
40,1,4,1,281,19253.967,13.13
40,1,4,1,301,19587.805,10.90
40,1,5,1,1,21.342,1.06
40,1,5,1,21,16.638,22.50
40,1,5,1,41,12.993,42.28
40,1,5,1,61,280.912,60.48
40,1,5,1,81,6168.490,63.73
40,1,5,1,101,4758.095,81.93
40,1,5,1,121,12288.017,52.15
40,1,5,1,141,15149.833,36.15
40,1,5,1,161,17237.183,24.29
40,1,5,1,181,17641.150,30.43
40,1,5,1,201,18576.897,21.43
40,1,5,1,221,19257.225,18.96
40,1,5,1,241,18946.510,16.23
40,1,5,1,261,18654.320,14.12
40,1,5,1,281,18844.953,10.56
40,1,5,1,301,19735.188,11.67
40,12,1,1,1,19.029,1.06
40,12,1,1,21,18.857,22.48
40,12,1,1,41,33.032,42.26
40,12,1,1,61,25.545,61.42
40,12,1,1,81,80.171,81.24
40,12,1,1,101,2195.846,92.63
40,12,1,1,121,2869.350,107.05
40,12,1,1,141,7141.313,89.12
40,12,1,1,161,15063.888,55.16
40,12,1,1,181,14607.976,49.15
40,12,1,1,201,15416.346,43.47
40,12,1,1,221,16185.013,34.07
40,12,1,1,241,18556.666,23.80
40,12,1,1,261,18468.628,21.23
40,12,1,1,281,19571.652,18.49
40,12,1,1,301,19141.939,16.00
